otherobjectid,objectid,filename,youtubeid,itemtype,format,title,latitude,longitude,date,date is approximate?,encounterdate,description,subject,location,type,language,rights,rightsstatement,object_template,object_download,image_small,image_thumb
storying001,bull-elk-investigates,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/videos/bull-elk-investigates.mp4,,trailcam,video/avi,Bull Elk Investigates,48.770613,-116.619259,2020-07-04,,,Bulk Elk investigates cedar tree,Bull elk; cedar tree; game camera,Ball creek drainage,Image; MovingImage,eng,,,video,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/videos/bull-elk-investigates.mp4,https://cdil.lib.uidaho.edu/storying-extinction/objects/small/bull-elk-investigates_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/thumbs/bull-elk-investigates_th.jpg
storying002,bull-moose-shoulder-profile-bell-and-wind,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/videos/bull-moose-shoulder-profile-bell-and-wind.mp4,,trailcam,video/avi,Bull Moose Shoulder Profile Bell and Wind,48.770613,-116.619259,2020-07-10,,,"Bull moose stands in front of game camera revealing shoulder, bell.",Bull moose; game camera,Ball creek drainage,Image;MovingImage,eng,,,video-embed,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/videos/bull-moose-shoulder-profile-bell-and-wind.mp4,https://cdil.lib.uidaho.edu/storying-extinction/objects/small/bull-moose-shoulder-profile-bell-and-wind_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/thumbs/bull-moose-shoulder-profile-bell-and-wind_th.jpg
storying003,cinnamon-bear-rubs-2-0,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/videos/cinnamon-bear-rubs-2-0.mp4,,trailcam,video/avi,Cinnamon Bear Rubs 2.0,48.770613,-116.619259,2020-07-15,,,Cinnamon bear rubs cedar tree,Cinnamon bear; cedar tree; game camera,Ball creek drainage,Image;MovingImage,eng,,,video-embed,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/videos/cinnamon-bear-rubs-2-0.mp4,https://cdil.lib.uidaho.edu/storying-extinction/objects/small/cinnamon-bear-rubs-2-0_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/thumbs/cinnamon-bear-rubs-2-0_th.jpg
storying004,man-draws-gun,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/videos/man-draws-gun.mp4,,trailcam,video/avi,Man Draws Gun,48.770613,-116.619259,2020-07-10,,,Man with family draws gun near cedar tree,Man; wife; two daughters; cedar tree; game camera,Ball creek drainage,Image;MovingImage,eng,,,video-embed,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/videos/man-draws-gun.mp4,https://cdil.lib.uidaho.edu/storying-extinction/objects/small/man-draws-gun_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/thumbs/man-draws-gun_th.jpg
storying005,grizzly-bear-pipe,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/videos/grizzly-bear-pipe.mp4,,trailcam,video/avi,Grizzly Bear Pipe,48.953816,-117.025406,2020-07-13,,,"Grizzly bear passes game camera, investigates",Grizzly bear; game camera,Little Snowy Top,Image;MovingImage,eng,,,video-embed,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/videos/grizzly-bear-pipe.mp4,https://cdil.lib.uidaho.edu/storying-extinction/objects/small/grizzly-bear-pipe_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/thumbs/grizzly-bear-pipe_th.jpg
storying006,windy-saddle,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/videos/windy-saddle.mp4,,trailcam,video/avi,Windy Saddle,48.977655,-117.001221,2020-06-24,,,Windstorm shakes trees near little snowy top,Trees; wind; game camera,Little Snowy Top,Image;MovingImage,eng,,,video-embed,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/videos/windy-saddle.mp4,https://cdil.lib.uidaho.edu/storying-extinction/objects/small/windy-saddle_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/thumbs/windy-saddle_th.jpg
storying011,black-bear-gaze,https://cdil.lib.uidaho.edu/storying-extinction/objects/black-bear-gaze.jpg,,trailcam,image/jpg,Black Bear Gaze,48.770613,-116.619259,2020-07-06,,,Black bear gazes at game camera,Black bear; game camera,Ball creek drainage,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/black-bear-gaze.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Black-bear-gaze.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Black-bear-gaze.jpg
storying012,coyote-sp,https://cdil.lib.uidaho.edu/storying-extinction/objects/coyote-sp.jpg,,trailcam,image/jpg,Coyote ,48.952513,-117.014216,2020-06-22,,,Coyote passes game camera on trail,Coyote; game camera,Little Snowy Top,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/coyote-sp.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Coyote-SP.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Coyote-SP.jpg
storying013,hoary-marmot-wrestle,https://cdil.lib.uidaho.edu/storying-extinction/objects/hoary-marmot-wrestle.jpg,,trailcam,image/jpg,Hoary Marmot Wrestle,48.950421,-117.016485,2020-06-05,,,Two hoary marmots wrestle near the ridgeline,Hoary marmot 1; hoary marmot 2; game camera,Little Snowy Top,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/hoary-marmot-wrestle.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Hoary-Marmot-Wrestle.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Hoary-Marmot-Wrestle.jpg
storying014,mule-deer-buck-sp,https://cdil.lib.uidaho.edu/storying-extinction/objects/mule-deer-buck-sp.jpg,,trailcam,image/jpg,Mule Deer Buck ,48.952513,-117.014216,2020-06-27,,,Mule deer buck at game camera,Mule deer; game camera,Little Snowy Top,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/mule-deer-buck-sp.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Mule-Deer-Buck-SP.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Mule-Deer-Buck-SP.jpg
storying015,cedar-hemlock,https://cdil.lib.uidaho.edu/storying-extinction/objects/cedar-hemlock.jpg,,trailcam,image/jpg,Cedar Hemlock,48.770613,-116.619259,2020-07-20,,,Cedar Hemlock forest,Cedar Hemlock trees; game camera,Ball creek drainage,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/cedar-hemlock.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Cedar-Hemlock.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Cedar-Hemlock.jpg
storying016,englemann-spruce-subalpine-fir,https://cdil.lib.uidaho.edu/storying-extinction/objects/engelmann-subalpine.jpg,,trailcam,image/jpg,Englemann Spruce/Subalpine Fir,48.953306,-117.025,2020-05-30,,,Englemann spruce forest in snow/rain/fog,Englemann and subalpine trees; game camera,Little Snowy Top,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/engelmann-subalpine.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Engelmann-subalpine.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Engelmann-subalpine.jpg
storying017,twisted-stalk,https://cdil.lib.uidaho.edu/storying-extinction/objects/twisted-stalk.jpg,,trailcam,image/jpg,Twisted Stalk,48.953306,-117.025,2020-07-30,,,Twisted stalk in drainage off of Little Snowy Top,Twisted Stalk; game camera,Little Snowy Top,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/twisted-stalk.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/twisted-stalk.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/twisted-stalk.jpg
storying019,caribou-mural-in-sandpoint,https://cdil.lib.uidaho.edu/storying-extinction/objects/sandpoint-caribou-mural.jpg,,trailcam,image/jpg,"Caribou mural in Sandpoint, Idaho, by artist Roger Peet",48.278167,-116.555722,2020-06-23,,,"Caribou mural in Sandpoint, ID",Mural,"Sandpoint, ID",Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/sandpoint-caribou-mural.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Sandpoint-caribou-mural.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Sandpoint-caribou-mural.jpg
storying020,ballcreek-cedarrub-blackbearpassingthrough,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/ballcreek-cedarrub-blackbearpassingthrough.jpg,,trailcam,image/jpg,Black Bear Passing Through,48.770613,-116.619259,,,,,,Ball Creek;Cedar Rub,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/ballcreek-cedarrub-blackbearpassingthrough.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-blackbearpassingthrough_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-blackbearpassingthrough_th.jpg
storying021,ballcreek-cedarrub-blackbearpassingthrough2,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/ballcreek-cedarrub-blackbearpassingthrough2.jpg,,trailcam,image/jpg,Black Bear Passing Through 2,48.770613,-116.619259,,,,,,Ball Creek;Cedar Rub,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/ballcreek-cedarrub-blackbearpassingthrough2.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-blackbearpassingthrough2_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-blackbearpassingthrough2_th.jpg
storying022,ballcreek-cedarrub-blackbearrub,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/ballcreek-cedarrub-blackbearrub.jpg,,trailcam,image/jpg,Black Bear Rub,48.770613,-116.619259,,,,,,Ball Creek;Cedar Rub,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/ballcreek-cedarrub-blackbearrub.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-blackbearrub_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-blackbearrub_th.jpg
storying023,ballcreek-cedarrub-bullelkbrowsing,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/ballcreek-cedarrub-bullelkbrowsing.jpg,,trailcam,image/jpg,Bull Elk Browsing,48.770613,-116.619259,,,,,,Ball Creek;Cedar Rub,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/ballcreek-cedarrub-bullelkbrowsing.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-bullelkbrowsing_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-bullelkbrowsing_th.jpg
storying024,ballcreek-cedarrub-bullelkcloseup,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/ballcreek-cedarrub-bullelkcloseup.jpg,,trailcam,image/jpg,Bull Elk Close Up,48.770613,-116.619259,,,,,,Ball Creek;Cedar Rub,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/ballcreek-cedarrub-bullelkcloseup.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-bullelkcloseup_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-bullelkcloseup_th.jpg
storying025,ballcreek-cedarrub-bullelkinvestigatesrub,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/ballcreek-cedarrub-bullelkinvestigatesrub.jpg,,trailcam,image/jpg,Bull Elk Investigates Rub,48.770613,-116.619259,,,,,,Ball Creek;Cedar Rub,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/ballcreek-cedarrub-bullelkinvestigatesrub.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-bullelkinvestigatesrub_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-bullelkinvestigatesrub_th.jpg
storying026,ballcreek-cedarrub-cinnamonbearinvestigatestree2,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/ballcreek-cedarrub-cinnamonbearinvestigatestree2.jpg,,trailcam,image/jpg,Cinnamon Bear Investigates Tree 2,48.770613,-116.619259,,,,,,Ball Creek;Cedar Rub,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/ballcreek-cedarrub-cinnamonbearinvestigatestree2.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-cinnamonbearinvestigatestree2_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-cinnamonbearinvestigatestree2_th.jpg
storying027,ballcreek-cedarrub-cinnamonblackapproachestree,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/ballcreek-cedarrub-cinnamonblackapproachestree.jpg,,trailcam,image/jpg,Cinnamon Black Approaches Tree,48.770613,-116.619259,,,,,,Ball Creek;Cedar Rub,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/ballcreek-cedarrub-cinnamonblackapproachestree.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-cinnamonblackapproachestree_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-cinnamonblackapproachestree_th.jpg
