title,absolutelink,relative_link,nexttitle,nextlink,prevtitle,prevlink
Home,http://localhost:4000/,/,Err,/error.html,,
Err,http://localhost:4000/error.html,/error.html,About,/about.html,Home,/
About,http://localhost:4000/about.html,/about.html,Bull Elk Investigates,/mapitem.html?id=bull-elk-investigates,Err,/error.html
Bull Elk Investigates,http://localhost:4000/mapitem.html?id=bull-elk-investigates,/mapitem.html?id=bull-elk-investigates,Bull Moose Shoulder Profile Bell and Wind,/mapitem.html?id=bull-moose-shoulder-profile-bell-and-wind,About,/about.html
Bull Moose Shoulder Profile Bell and Wind,http://localhost:4000/mapitem.html?id=bull-moose-shoulder-profile-bell-and-wind,/mapitem.html?id=bull-moose-shoulder-profile-bell-and-wind,Cinnamon Bear Rubs 2.0,/mapitem.html?id=cinnamon-bear-rubs-2-0,Bull Elk Investigates,/mapitem.html?id=bull-elk-investigates
Cinnamon Bear Rubs 2.0,http://localhost:4000/mapitem.html?id=cinnamon-bear-rubs-2-0,/mapitem.html?id=cinnamon-bear-rubs-2-0,Man Draws Gun,/mapitem.html?id=man-draws-gun,Bull Moose Shoulder Profile Bell and Wind,/mapitem.html?id=bull-moose-shoulder-profile-bell-and-wind
Man Draws Gun,http://localhost:4000/mapitem.html?id=man-draws-gun,/mapitem.html?id=man-draws-gun,Grizzly Bear Pipe,/mapitem.html?id=grizzly-bear-pipe,Cinnamon Bear Rubs 2.0,/mapitem.html?id=cinnamon-bear-rubs-2-0
Grizzly Bear Pipe,http://localhost:4000/mapitem.html?id=grizzly-bear-pipe,/mapitem.html?id=grizzly-bear-pipe,Windy Saddle,/mapitem.html?id=windy-saddle,Man Draws Gun,/mapitem.html?id=man-draws-gun
Windy Saddle,http://localhost:4000/mapitem.html?id=windy-saddle,/mapitem.html?id=windy-saddle,Chimney Rock Encounter,/mapitem.html?id=chimney-rock-encounter,Grizzly Bear Pipe,/mapitem.html?id=grizzly-bear-pipe
Chimney Rock Encounter,http://localhost:4000/mapitem.html?id=chimney-rock-encounter,/mapitem.html?id=chimney-rock-encounter,Caribou Encounter in BC,/mapitem.html?id=caribou-encounter-in-bc,Windy Saddle,/mapitem.html?id=windy-saddle
Caribou Encounter in BC,http://localhost:4000/mapitem.html?id=caribou-encounter-in-bc,/mapitem.html?id=caribou-encounter-in-bc,Two Mouth Lakes Encounter,/mapitem.html?id=two-mouth-lakes-encounter,Chimney Rock Encounter,/mapitem.html?id=chimney-rock-encounter
