otherobjectid,objectid,filename,youtubeid,title,itemtype,date,date is approximate?,encounterdate,description,subject,location,format,latitude,longitude,type,language,rights,rightsstatement,object_template,object_download,image_small,image_thumb
storying001,bull-elk-investigates,bull-elk-investigates.avi,Zqk2J6wXyos,Bull Elk Investigates,trailcam,2020-07-04,,,Bulk Elk investigates cedar tree,Bull elk; cedar tree; game camera,Ball creek drainage,video/avi,48.770613,-116.619259,Image;MovingImage,eng,,,video-embed,https://youtu.be/Zqk2J6wXyos,https://img.youtube.com/vi/Zqk2J6wXyos/hqdefault.jpg,https://img.youtube.com/vi/Zqk2J6wXyos/default.jpg
storying002,bull-moose-shoulder-profile-bell-and-wind,bull-moose-shoulder-profile-bell-and-wind.avi,RMywG_Qrp5E,Bull Moose Shoulder Profile Bell and Wind,trailcam,2020-07-10,,,"Bull moose stands in front of game camera revealing shoulder, bell.",Bull moose; game camera,Ball creek drainage,video/avi,48.770613,-116.619259,Image;MovingImage,eng,,,video-embed,https://youtu.be/RMywG_Qrp5E,https://img.youtube.com/vi/RMywG_Qrp5E/hqdefault.jpg,https://img.youtube.com/vi/RMywG_Qrp5E/default.jpg
storying003,cinnamon-bear-rubs-2-0,cinnamon-bear-rubs-2.0.avi,acHU-aWvRyg,Cinnamon Bear Rubs 2.0,trailcam,2020-07-15,,,Cinnamon bear rubs cedar tree,Cinnamon bear; cedar tree; game camera,Ball creek drainage,video/avi,48.770613,-116.619259,Image;MovingImage,eng,,,video-embed,https://youtu.be/acHU-aWvRyg,https://img.youtube.com/vi/acHU-aWvRyg/hqdefault.jpg,https://img.youtube.com/vi/acHU-aWvRyg/default.jpg
storying004,man-draws-gun,man-draws-gun.avi,u11iRryOoww,Man Draws Gun,trailcam,2020-07-10,,,Man with family draws gun near cedar tree,Man; wife; two daughters; cedar tree; game camera,Ball creek drainage,video/avi,48.770613,-116.619259,Image;MovingImage,eng,,,video-embed,https://youtu.be/u11iRryOoww,https://img.youtube.com/vi/u11iRryOoww/hqdefault.jpg,https://img.youtube.com/vi/u11iRryOoww/default.jpg
storying005,grizzly-bear-pipe,grizzly-bear-pipe.avi,J0rZhbQu0yQ,Grizzly Bear Pipe,trailcam,2020-07-13,,,"Grizzly bear passes game camera, investigates",Grizzly bear; game camera,Little Snowy Top,video/avi,48.953816,-117.025406,Image;MovingImage,eng,,,video-embed,https://youtu.be/J0rZhbQu0yQ,https://img.youtube.com/vi/J0rZhbQu0yQ/hqdefault.jpg,https://img.youtube.com/vi/J0rZhbQu0yQ/default.jpg
storying006,windy-saddle,windy-saddle.avi,ORJ0jmas6jA,Windy Saddle,trailcam,2020-06-24,,,Windstorm shakes trees near little snowy top,Trees; wind; game camera,Little Snowy Top,video/avi,48.977655,-117.001221,Image;MovingImage,eng,,,video-embed,https://youtu.be/ORJ0jmas6jA,https://img.youtube.com/vi/ORJ0jmas6jA/hqdefault.jpg,https://img.youtube.com/vi/ORJ0jmas6jA/default.jpg
storying007,chimney-rock-encounter,bob-case,HjbLLcdZkgU,Chimney Rock Encounter,oralhistory,1994-07-01,y,1994-07-01,Bob Case sees and photographs a bull caribou while hiking alone at Chimney Rock,Bob Case; oral history interview,"Chimney Rock, ID",video/avi,48.618778,-116.696917,Image;MovingImage,eng,,,video-embed,https://youtu.be/HjbLLcdZkgU,https://img.youtube.com/vi/HjbLLcdZkgU/hqdefault.jpg,https://img.youtube.com/vi/HjbLLcdZkgU/default.jpg
storying008,caribou-encounter-in-bc,bryce-comer,h-VrnGdYuG4,Caribou Encounter in BC,oralhistory,2010,y,2010,Bryce Comer recounts his experience filming caribou in southern BC,Bryce Comer;  oral history interview,"Stagleap Provincial Park, BC",video/avi,49.153222,-116.997056,Image;MovingImage,eng,,,video-embed,https://youtu.be/h-VrnGdYuG4,https://img.youtube.com/vi/h-VrnGdYuG4/hqdefault.jpg,https://img.youtube.com/vi/h-VrnGdYuG4/default.jpg
storying009,two-mouth-lakes-encounter,debbie-ackley,g7Z8X7PsbUE,Two Mouth Lakes Encounter,oralhistory,1991,y,1991,Debby Ackley describes seeing a caribou on her hike to Two Mouth Lakes,Debby Ackley;  oral history interview,"Two Mouth Lakes, ID",video/avi,48.709028,-116.645306,Image;MovingImage,eng,,,video-embed,https://youtu.be/g7Z8X7PsbUE,https://img.youtube.com/vi/g7Z8X7PsbUE/hqdefault.jpg,https://img.youtube.com/vi/g7Z8X7PsbUE/default.jpg
storying010,schweitzer-mt-encounter,john-nylund,4tb9NnJdwr8,Schweitzer Mt. Encounter,oralhistory,1990,y,1990,John Nylund describes seeing a caribou while working on the quad chair at Schweitzer Mt.,John Nylund;  oral history interview,Schweitzer Mt. ID,video/avi,48.397222,-116.607167,Image;MovingImage,eng,,,video-embed,https://youtu.be/4tb9NnJdwr8,https://img.youtube.com/vi/4tb9NnJdwr8/hqdefault.jpg,https://img.youtube.com/vi/4tb9NnJdwr8/default.jpg
